time,R,F,T,I
8.48,40.86995753508916,24.249918088137793,18.05630985090309,8.338339239792155
8.485,40.87063562523897,24.249194328508665,18.054385715587795,8.34036707786491
8.49,40.87131069505452,24.248473333597136,18.052463794322012,8.342394351969102
8.495000000000001,40.87198274980689,24.2477550922674,18.05054408550715,8.344421059744047
8.5,40.87265179476922,24.24703959341938,18.048626587538493,8.34644719883616
8.505,40.87331783521672,24.24632682598873,18.046711298805192,8.348472766898947
8.51,40.87398087642665,24.245616778946843,18.044798217690264,8.350497761593015
8.515,40.87464092367838,24.244909441300834,18.0428873425706,8.352522180586062
8.52,40.875297982253294,24.24420480209355,18.040978671816955,8.354546021552883
8.525,40.875952057434894,24.243502850403576,18.039072203793957,8.35656928217537
8.53,40.87660315450871,24.242803575345224,18.037167936860094,8.35859196014251
8.535,40.87725127876237,24.24210696606854,18.035265869367727,8.360614053150385
8.540000000000001,40.87789643548555,24.241413011759303,18.033365999663094,8.362635558902173
8.545,40.87853862997001,24.240721701639014,18.03146832608629,8.364656475108147
8.55,40.87917786750956,24.24003302496492,18.029572846971288,8.366676799485678
8.555,40.8798141534001,24.239346971029985,18.027679560645918,8.368696529759228
8.56,40.88044749293957,24.23866352916292,18.025788465431887,8.370715663660361
8.565,40.881077891428,24.237982688728152,18.02389955964477,8.372734198927729
8.57,40.881705354167494,24.237304439125854,18.022012841594012,8.374752133307087
8.575000000000001,40.882329886462195,24.23662876979192,18.02012830958292,8.376769464551284
8.58,40.88295149361834,24.235955670197978,18.018245961908676,8.378786190420257
8.585,40.883570180944226,24.23528512985139,18.016365796862328,8.380802308681051
8.59,40.88418595375021,24.234617138295253,18.01448781272879,8.382817817107798
8.595,40.88479881734873,24.233951685108387,18.012612007786853,8.384832713481726
8.6,40.88540877705429,24.233288759905346,18.010738380309167,8.386846995591164
8.605,40.88601583818344,24.232628352336416,18.00886692856226,8.388860661231531
8.61,40.88662000605484,24.231970452087623,18.006997650806518,8.390873708205344
8.615,40.88722128598918,24.231315048880713,18.0051305452962,8.392886134322218
8.620000000000001,40.88781968330924,24.230662132473167,18.003265610279442,8.39489793739886
8.625,40.88841520333985,24.230011692658202,18.001402843998235,8.396909115259072
8.63,40.889007851407925,24.229363719264764,17.999542244688445,8.398919665733755
8.635,40.889597632842445,24.228718202157523,17.99768381057981,8.400929586660904
