time,P,Z,L,B
5.845,4.183923588845296,31.494595502368902,33.9601260292879,39.60355656308892
5.8500000000000005,4.180438967950618,31.46769371400433,33.96228712370558,39.61130518954801
5.855,4.176968296943537,31.440827631725462,33.96444395741126,39.61902554919096
5.86,4.173511530183288,31.413997245743523,33.96659654193188,39.62671768898362
5.865,4.170068622253959,31.387202546026298,33.96874488875845,39.634381655945425
5.87,4.166639527964497,31.36044352229813,33.970889009346166,39.642017497149375
5.875,4.163224202348702,31.333720164039924,33.973028915114305,39.64962525972205
5.88,4.159822600665231,31.307032460489143,33.975164617446296,39.65720499084362
5.885,4.156434678397596,31.28038040063981,33.977296127689684,39.6647567377478
5.89,4.153060391254167,31.25376397324251,33.979423457156145,39.67228054772191
5.8950000000000005,4.1496996951681675,31.22718316680438,33.98154661712147,39.679776468106844
5.9,4.1463525462976785,31.200637969589128,33.98366561882558,39.68724454629706
5.905,4.143018901025635,31.17412836961702,33.985780473472545,39.69468482974059
5.91,4.13969871595983,31.14765435466487,33.98789119223052,39.70209736593905
5.915,4.13639194793291,31.121215912266063,33.98999778623181,39.70948220244765
5.92,4.133098554002379,31.09481302971054,33.992100266572855,39.71683938687515
5.925,4.129818491450595,31.0684456940448,33.9941986443142,39.72416896688389
5.93,4.126551717784774,31.04211389207191,33.99629293048053,39.7314709901898
5.9350000000000005,4.123298190736986,31.01581761035148,33.998383136060646,39.73874550456238
5.94,4.12005786826416,30.9895568351997,34.000469272007486,39.7459925578247
5.945,4.116830708548076,30.963331552689308,34.002551349238104,39.753212197853415
5.95,4.113616669995373,30.9371417486496,34.00462937863368,39.760404472578756
5.955,4.110415711237546,30.910987408666436,34.00670337103953,39.767569429984526
5.96,4.107227791130943,30.88486851808224,34.00877333726509,39.77470711810811
5.965,4.104052868756771,30.858785061995984,34.010839288083915,39.781817585040464
5.97,4.10089090342109,30.83273702526321,34.0129012342337,39.788900878926114
5.9750000000000005,4.097741854654818,30.80672439249601,34.014959186416256,39.79595704796319
5.98,4.094605682213729,30.780747148063053,34.017013155297526,39.80298614040336
5.985,4.091482346078451,30.75480527608955,34.019063151507574,39.80998820455191
5.99,4.08837180645447,30.728898760457277,34.02110918564058,39.81696328876766
5.995,4.085274023772124,30.703027584804573,34.023151268254885,39.82391144146304
6.0,4.082188958686611,30.67719173252634,34.025189409872915,39.830832711104044
6.005,4.079116572077983,30.65139118677402,34.027223620981246,39.837727146210234
6.01,4.076056825051148,30.625625930455644,34.02925391203057,39.844594795354766
6.015000000000001,4.073009678935868,30.599895946235776,34.031280293435714,39.851435707164356
6.0200000000000005,4.069975091297013,30.57420122210293,34.03330277606439,39.85824992794138
6.025,4.066953004661529,30.548541766443595,34.03532137259158,39.86503749515112
6.03,4.06394337791047,30.522917563987782,34.03733609364381,39.871798456205205
6.035,4.060946172498658,30.49732859589935,34.039346949522226,39.878532859974136
6.04,4.057961350008271,30.471774843242187,34.04135395050442,39.885240755312594
6.045,4.054988872148834,30.446256286980176,34.04335710684444,39.89192219105945
6.05,4.052028700757231,30.420772907977213,34.045356428772784,39.898577216037765
6.055,4.049080797797697,30.3953246869972,34.0473519264964,39.90520587905476
6.0600000000000005,4.0461451253618215,30.369911604704043,34.04934361019868,39.91180822890189
6.065,4.043221645668548,30.344533641661677,34.0513314900395,39.918384314354746
6.07,4.040310321064171,30.31919077833402,34.053315576155136,39.92493418417314
6.075,4.0374111140223405,30.293882995085013,34.055295878658356,39.93145788710106
6.08,4.034523987144061,30.268610272178606,34.057272407638365,39.93795547186667
6.085,4.031648903157686,30.243372589778744,34.05924517316082,39.94442698718234
6.09,4.028785824918928,30.218169927949397,34.061214185267815,39.950872481744604
6.095,4.02593471541085,30.193002266654535,34.06317945397793,39.95729200423421
6.1000000000000005,4.023095537743868,30.167869585758133,34.06514098928616,39.963685603316065
6.105,4.020268255155753,30.14277186502419,34.06709880116397,39.97005332763928
6.11,4.017452831011629,30.117709084116697,34.069052899559274,39.97639522583714
6.115,4.0146492288039735,30.09268122259966,34.07100329439644,39.98271134652712
6.12,4.011857412152617,30.067688259937086,34.07294999557627,39.9890017383109
6.125,4.009077344804744,30.04273017549301,34.07489301297605,39.995266449774306
6.13,4.006308990634893,30.01780694853145,34.07683235644947,40.001505529487396
6.135,4.0035523136449545,29.992918558216456,34.07876803582673,40.00771902600439
6.140000000000001,4.000807277964172,29.968064983612066,34.08070006091443,40.013906987863685
6.1450000000000005,3.9980738478491458,29.943246203682346,34.08262844149564,40.02006946358789
6.15,3.995351987683827,29.91846219729136,34.084553187329895,40.02620650168378
6.155,3.992641661979521,29.893712943203173,34.08647430815316,40.032318150642325
6.16,3.9899428353748863,29.868998420081873,34.08839181367785,40.03840445893867
6.165,3.9872554726359346,29.844318606491548,34.09030571359286,40.044465475032176
6.17,3.984579538656032,29.8196734808963,34.092216017563516,40.050501247366356
6.175,3.9819149984558972,29.795063021660226,34.09412273523158,40.05651182436893
6.18,3.979261817183603,29.770487207047456,34.09602587621529,40.06249725445179
6.1850000000000005,3.9766199601145757,29.745946015222103,34.09792545010933,40.068457586011036
6.19,3.973989392651595,29.721439424248306,34.09982146648483,40.07439286742693
6.195,3.9713700803247933,29.696967412090203,34.101713934889375,40.08030314706393
6.2,3.968761988791657,29.672529956611946,34.10360286484699,40.08618847327068
6.205,3.9661650838370273,29.64812703557769,34.10548826585818,40.09204889438003
6.21,3.9635793313730967,29.623758626651604,34.107370147399855,40.097884458708975
6.215,3.9610046974394124,29.599424707397866,34.109248518925426,40.10369521455873
6.22,3.9584411482028745,29.57512525528065,34.11112338986472,40.10948121021469
6.2250000000000005,3.9558886499577364,29.550860247664154,34.11299476962404,40.115242493946425
6.23,3.953347169125607,29.526629661812578,34.11486266758611,40.1209791140077
6.235,3.950816672255446,29.502433474890136,34.116727093110136,40.126691118636465
6.24,3.948297126023568,29.47827166396104,34.11858805553175,40.13237855605486
6.245,3.9457884972336412,29.454144205989515,34.12044556416306,40.1380414744692
6.25,3.9432907528166865,29.430051077839796,34.122299628292616,40.14367992207
6.255,3.9408038598310786,29.40599225627613,34.1241502571854,40.14929394703195
6.26,3.938327785462546,29.381967717962763,34.12599746008287,40.15488359751394
