time,V,R,C,M
5.11,27.39691476044103,51.774049974859835,46.53233046345953,30.415716661391762
5.115,27.360498112637536,51.74705589820068,46.53779640823147,30.43248787871544
5.12,27.32414994613197,51.72005920650662,46.54321591955554,30.449238819129224
5.125,27.287870183053943,51.693060001783806,46.548589122093176,30.46596945865184
5.13,27.251658745303693,51.66605838577312,46.55391614041663,30.482679773447597
5.135,27.21551555455212,51.639054459950174,46.55919709900906,30.499369739826392
5.14,27.179440532240758,51.61204832552531,46.564432122264435,30.51603933424371
5.1450000000000005,27.14343359958179,51.58504008344357,46.56962133448761,30.532688533300643
5.15,27.107494677558066,51.55802983438478,46.57476485989426,30.549317313743856
5.155,27.07162368692306,51.53101767876345,46.57986282261095,30.565925652465612
5.16,27.03582054820091,51.50400371672881,46.58491534667509,30.582513526503774
5.165,27.00008518168638,51.47698804816485,46.58992255603493,30.59908091304178
5.17,26.964417507444907,51.449970772690264,46.59488457454959,30.615627789408673
5.175,26.928817445312554,51.422951989658486,46.599801525989044,30.63215413307908
5.18,26.893284914896043,51.395931798157676,46.60467353403411,30.64865992167322
5.1850000000000005,26.857819835572737,51.36891029701071,46.609500722276486,30.66514513295691
5.19,26.82242212649066,51.34188758477521,46.61428321421869,30.68160974484154
5.195,26.78709170656847,51.3148637597435,46.61902113327412,30.698053735384114
5.2,26.75182849449547,51.287838919942665,46.62371460276702,30.714477082787212
5.205,26.716632408731623,51.260813163134486,46.628363745932496,30.73087976539901
5.21,26.681503367507528,51.23378658681549,46.6329686859165,30.747261761713276
5.215,26.646441288824434,51.20675928821693,46.63752954577585,30.763623050369368
5.22,26.611446090454244,51.17973136430477,46.6420464484782,30.779963610152233
5.2250000000000005,26.576517689939493,51.15270291177972,46.646519516902075,30.796283419992417
5.23,26.541656004593385,51.12567402707721,46.65094887383685,30.812582458966045
5.235,26.50686095149976,51.09864480636741,46.65533464198277,30.82886070629484
5.24,26.4721324475131,51.07161534555519,46.6596769439509,30.84511814134612
5.245,26.437470409258545,51.044585740280176,46.663975902263196,30.861354743632788
5.25,26.402874753131872,51.017556085916695,46.66823163935244,30.877570492813337
5.255,26.36834539529951,50.99052647757383,46.6724442775623,30.89376536869186
5.26,26.333882251698537,50.96349701009537,46.67661393914727,30.909939351218032
5.265,26.29948523803668,50.936467778059836,46.68074074627272,30.926092420487123
5.2700000000000005,26.2651542697923,50.90943887578048,46.68482482101486,30.942224556739998
5.275,26.230889262214433,50.882410397305286,46.68886628536075,30.958335740363104
5.28,26.196690130322732,50.85538243641695,46.69286526120834,30.974425951888485
5.285,26.162556788907516,50.82835508663292,46.69682187036639,30.99049517199377
5.29,26.128489152529742,50.80132844120534,46.70073623455455,31.006543381502198
5.295,26.09448713552102,50.77430259312111,46.7046084754033,31.022570561382576
5.3,26.060550651983608,50.74727763510183,46.70843871445399,31.038576692749313
5.305,26.026679615790403,50.72025365960386,46.71222707315883,31.05456175686241
5.3100000000000005,25.992873940584953,50.69323075881826,46.715973672880864,31.070525735127454
5.315,25.95913353978147,50.66620902467083,46.71967863489401,31.086468609095633
5.32,25.925458326564787,50.6391885488221,46.72334208038302,31.10239036046371
5.325,25.891848213890395,50.61216942266731,46.726964130443534,31.118290971074053
5.33,25.85830311448444,50.58515173733645,46.73054490608202,31.134170422914618
